Original	Standardized	Dataset	Crop_center	n_samples	mean_vol[px]	min_vol[px]	max_vol[px]	dim	n_samples[>=1000px]	n_samples[<1000px]
171R_Vglut3_apexIHC_HCAT_C1_train	M-LR-000171-R_apex_01_Vglut3	train	unknown	36	58285.7	1104	89500	(171, 600, 888)	36	0
171R_Vglut3_baseIHC_HCAT_C2	M-LR-000171-R_base_02_Vglut3	train	unknown	38	41847.4	7904	65354	(261, 680, 396)	35	3
171R_Vglut3_midIHC_HCAT_C3	M-LR-000171-R_mid_03_Vglut3	train	unknown	57	50854.4	3133	75001	(151, 724, 1020)	57	0
M226L_Vglut3_0516-1274-1078	M-LR-000226-L_crop_0516-1274-1078_Vglut3	train	0516-1274-1078	12	31202.0	4272	41865	(64, 256, 256)	12	0
M226L_Vglut3_2021-3268-1902	M-LR-000226-L_crop_2021-3268-1902_Vglut3	train	2021-3268-1902	7	30437.1	12834	39636	(128, 512, 512)	7	0
M226L_Vglut3_2216-0850-1675	M-LR-000226-L_crop_2216-0850-1675_Vglut3	train	2216-0850-1675	8	29823.9	2194	77053	(96, 256, 256)	8	0
M226L_Vglut3_basep2720_empty	M-LR-000226-L_base_Vglut3_empty	train	unknown	0	32000000.0	32000000	32000000	(200, 400, 400)	1	0
M_AMD_OTOF2_L_crop_0700-1050-0435	M-AMD-OTOF2-L_crop_0700-1050-0435	train	0700-1050-0435	32	20293.1	1556	27014	(512, 512, 512)	31	1
M_AMD_OTOF2_L_crop_1020-0375-0871	M-AMD-OTOF2-L_crop_1020-0375-0871	train	1020-0375-0871	29	30702.3	5183	52347	(512, 512, 512)	29	0
MOTOF1L_0580-1175-1000	M-AMD-OTOF1-L_crop_0580-1175-1000_Vglut3	train	0580-1175-1000	20	34037.9	17604	44700	(330, 512, 512)	18	2
MOTOF1L_1330-0800-0820	M-AMD-OTOF1-L_crop_1330-0800-0820_Vglut3	train	1330-0800-0820	44	33902.7	3036	58743	(512, 512, 512)	33	11
171R_Vglut3_apexIHC_HCAT_C1_val	M-LR-000171-R_apex_01_Vglut3	val	unknown	16	53060.8	8027	88967	(171, 256, 888)	16	0
