Original	Standardized	Dataset	Crop_center	n_samples	mean_vol[px]	min_vol[px]	max_vol[px]	dim	n_samples[>=1000px]	n_samples[<1000px]
M_AMD_000058_L_PV_crop_0160-0180-0070_empty	M-AMD-000058-L_crop_0160-0180-0070_PV_empty	train	0160-0180-0070	0		0.0	0.0	(128, 256, 256)	0.0	0.0
M_AMD_000058_L_PV_crop_0200-0660-0180_empty	M-AMD-000058-L_crop_0200-0660-0180_PV_empty	train	0200-0660-0180	0		0.0	0.0	(128, 256, 256)	0.0	0.0
M_AMD_000058_L_PV_crop_0270-0370-0070_empty	M-AMD-000058-L_crop_0270-0370-0070_PV_empty	train	0270-0370-0070	0		0.0	0.0	(128, 256, 256)	0.0	0.0
M-AMD-000087-L_crop_0720-0617-1037_PV	M-AMD-000087-L_crop_0720-0617-1037_PV	train	0720-0617-1037	168	7599.3	1031.0	19229.0	(96, 256, 256)	153.0	15.0
M-AMD-000087-L_crop_0897-0762-0500_PV	M-AMD-000087-L_crop_0897-0762-0500_PV	train	0897-0762-0500	155	9970.3	1036.0	25482.0	(96, 256, 256)	144.0	11.0
M-AMD-000087-L_crop_0990-1068-0508_PV	M-AMD-000087-L_crop_0990-1068-0508_PV	train	0990-1068-0508	131	9606.4	1001.0	25479.0	(96, 256, 256)	116.0	15.0
M-AMD-N129-L_crop_0490-1240-0560_PV	M-AMD-N129-L_crop_0490-1240-0560_PV	train	0490-1240-0560	242	5463.7	1164.0	15655.0	(96, 256, 256)	216.0	26.0
M-AMD-N129-L_crop_0578-1031-0430_PV	M-AMD-N129-L_crop_0578-1031-0430_PV	train	0578-1031-0430	198	5159.1	1050.0	12345.0	(96, 256, 256)	167.0	31.0
M-AMD-N129-L_crop_0610-0930-0889_PV	M-AMD-N129-L_crop_0610-0930-0889_PV	train	0610-0930-0889	168	4550.8	1009.0	7403.0	(96, 256, 256)	150.0	18.0
M-AMD-N129-L_crop_0980-0372-0567_PV	M-AMD-N129-L_crop_0980-0372-0567_PV	train	0980-0372-0567	146	9259.1	1102.0	16305.0	(96, 256, 256)	126.0	20.0
M-AMD-N129-L_crop_0980-0657-0642_PV	M-AMD-N129-L_crop_0980-0657-0642_PV	train	0980-0657-0642	175	8100.0	1022.0	13515.0	(96, 256, 256)	156.0	19.0
M-AMD-N163-L_crop_0700-0640-0570_PV	M-AMD-N163-L_crop_0700-0640-0570_PV	train	0700-0640-0570	118	6261.8	1016.0	14262.0	(96, 256, 256)	108.0	10.0
M-AMD-N163-L_crop_0774-0155-0330_PV	M-AMD-N163-L_crop_0774-0155-0330_PV	train	0774-0155-0330	83	9122.2	1232.0	19193.0	(96, 256, 256)	76.0	7.0
M-AMD-N75-L_crop_0551-0927-0604_PV	M-AMD-N75-L_crop_0551-0927-0604_PV	train	0551-0927-0604	173	7931.6	1036.0	15410.0	(96, 256, 256)	158.0	15.0
M-AMD-N75-L_crop_0562-0887-0924_PV	M-AMD-N75-L_crop_0562-0887-0924_PV	train	0562-0887-0924	191	8333.5	1001.0	19061.0	(96, 256, 256)	171.0	20.0
M-AMD-N75-L_crop_0602-0298-0748_PV	M-AMD-N75-L_crop_0602-0298-0748_PV	train	0602-0298-0748	126	11738.1	1247.0	24143.0	(96, 256, 256)	117.0	9.0
M-AMD-N75-L_crop_0679-0564-0935_PV	M-AMD-N75-L_crop_0679-0564-0935_PV	train	0679-0564-0935	169	9009.1	1012.0	20072.0	(96, 256, 256)	152.0	17.0
M-AMD-N75-L_crop_1009-1070-0720_PV	M-AMD-N75-L_crop_1009-1070-0720_PV	train	1009-1070-0720	147	10582.7	1178.0	18122.0	(96, 256, 256)	135.0	12.0
MAMD78L_PV_C1	M-AMD-000078-L_crop_01_PV	train	unknown	171	8073.3	1038.0	15813.0	(64, 256, 256)	147.0	24.0
MAMD78L_PV_C2	M-AMD-000078-L_crop_02_PV	train	unknown	55	8540.5	1047.0	15435.0	(64, 256, 256)	45.0	10.0
MAMD78L_PV_C3	M-AMD-000078-L_crop_03_PV	train	unknown	127	8946.4	1132.0	29550.0	(64, 256, 256)	110.0	17.0
MAMD78L_PV_C4	M-AMD-000078-L_crop_04_PV	train	unknown	28	7487.3	1602.0	13205.0	(64, 256, 256)	24.0	4.0
MAMD78L_PV_C5_empty	M-AMD-000078-L_crop_05_PV_empty	train	unknown	0		0.0	0.0	(64, 256, 256)	0.0	0.0
M_LR_000144_L_resized_crop_1040-0700-1390	M-LR-000144-L-resized_crop_1040-0700-1390_PV	train	1040-0700-1390	35	15445.0	1305.0	30498.0	(96, 256, 256)	34.0	1.0
M_LR_000144_L_resized_crop_1300-0690-1191	M-LR-000144-L-resized_crop_1300-0690-1191_PV	train	1300-0690-1191	34	11797.4	1081.0	25522.0	(96, 256, 256)	33.0	1.0
M_LR_000144_L_resized_crop_1455-0814-1191	M-LR-000144-L-resized_crop_1455-0814-1191_PV	train	1455-0814-1191	86	15411.9	1913.0	43883.0	(96, 256, 256)	84.0	2.0
M_LR_000145_L_PV_resized_crop_0503-0970-1220_empty	M-LR-000145-L-resized_crop_0503-0970-1220_PV_empty	train	0503-0970-1220	0		0.0	0.0	(128, 256, 256)	0.0	0.0
M_LR_000145_L_PV_resized_crop_0572-0482-1135_empty	M-LR-000145-L-resized_crop_0572-0482-1135_PV_empty	train	0572-0482-1135	0		0.0	0.0	(128, 256, 256)	0.0	0.0
M_LR_000145_L_resized_crop_1301-0812-0740	M-LR-000145-L-resized_crop_1301-0812-0740_PV	train	1301-0812-0740	0		0.0	0.0	(96, 256, 256)	0.0	0.0
M_LR_000151_R_PV_resized_crop_1600-1070-0660_empty	M-LR-000151-R-resized_crop_1600-1070-0660_PV_empty	train	1600-1070-0660	0		0.0	0.0	(128, 256, 256)	0.0	0.0
M_LR_000151_R_resized_crop_0875-0539-0747	M-LR-000151-R-resized_crop_0875-0539-0747_PV	train	0875-0539-0747	0		0.0	0.0	(96, 256, 256)	0.0	0.0
M_LR_000151_R_resized_crop_1300-0535-0747	M-LR-000151-R-resized_crop_1300-0535-0747_PV	train	1300-0535-0747	105	8502.5	1017.0	21680.0	(96, 256, 256)	94.0	11.0
M_LR_000167_R_crop_0909-0813-0810	M-LR-000167-R_crop_0909-0813-0810_PV	train	0909-0813-0810	188	10154.7	1004.0	20343.0	(96, 256, 256)	169.0	19.0
M_LR_000167_R_crop_0916-0800-0722	M-LR-000167-R_crop_0916-0800-0722_PV	train	0916-0800-0722	197	10451.1	1043.0	18168.0	(96, 256, 256)	174.0	23.0
M_LR_000167_R_crop_0951-0742-0602	M-LR-000167-R_crop_0951-0742-0602_PV	train	0951-0742-0602	182	10325.1	1024.0	28785.0	(96, 256, 256)	167.0	15.0
M_LR_000167_R_crop_0951-0742-0652	M-LR-000167-R_crop_0951-0742-0652_PV	train	0951-0742-0652	199	10066.3	1044.0	19896.0	(96, 256, 256)	174.0	25.0
M_LR_000167_R_crop_1210-0148-0606	M-LR-000167-R_crop_1210-0148-0606_PV	train	1210-0148-0606	74	10004.9	1000.0	20386.0	(96, 256, 256)	70.0	4.0
M_LR_000167_R_crop_1305-0341-0526	M-LR-000167-R_crop_1305-0341-0526_PV	train	1305-0341-0526	85	8319.2	1102.0	31217.0	(96, 256, 256)	83.0	2.0
M_LR_000184_L_resized_crop_0885-0913-1023	M-LR-000184-L-resized_crop_0885-0913-1023_PV	train	0885-0913-1023	68	9997.3	1080.0	19136.0	(96, 256, 256)	65.0	3.0
