Original	Standardized	Dataset	Crop_center	n_samples	dim
10.1L_mid_IHCribboncount_5_Z	M-AMD-000010-L_crop_mid_CTBP2	train	unknown	371	(411, 271, 342)
227l_p2466_mid_vlugt3-ctbp2	M-LR-000227-L_crop_mid_CTPB2	val	unknown	267	(100, 400, 400)
227l_p650_base_vglut3-ctbp2	M-LR-000227-L_crop_base_CTPB2	train	unknown	309	(100, 400, 400)
227l_p720_apex_vglut3-ctbp2	M-LR-000227-L_crop_apex_CTPB2	train	unknown	161	(100, 400, 400)
4.1L_apex_IHCribboncount_Z	M-AMD-000004-L_crop_apex_CTBP2	train	unknown	139	(70, 131, 150)
4.1L_base_IHCribbons_Z	M-AMD-000004-L_crop_base_CTBP2	train	unknown	417	(73, 423, 279)
4.1L_mid_IHCribboncount_Z	M-AMD-000004-L_crop_mid_CTBP2	train	unknown	220	(106, 136, 347)
4.2R_apex_IHCribboncount_Z	M-AMD-000004-R_crop_apex_CTBP2	train	unknown	704	(130, 891, 381)
4.2R_base_IHCribboncount_Z	M-AMD-000004-R_crop_base_CTBP2	train	unknown	117	(81, 201, 450)
4.2R_mid_IHCribboncount2_Z	M-AMD-000004-R_crop_mid_CTBP2	train	unknown	468	(61, 897, 378)
6.2R_apex_IHCribboncount_Z	M-AMD-000006-R_crop_apex_CTBP2	train	unknown	43	(40, 120, 146)
6.2R_base_IHCribbons_Z	M-AMD-000006-R_crop_base_CTBP2	train	unknown	187	(61, 508, 490)
m226r_apex_p1268_pv-ctbp2	M-LR-000226-R_crop_apex_CTPB2	train	unknown	102	(100, 400, 400)
m226r_base_p800_vglut3-ctbp2	M-LR-000226-R_crop_base_CTPB2	train	unknown	287	(100, 400, 400)
m226r_mid_p2824_vglut3-ctbp2	M-LR-000226-R_crop_mid_CTPB2	train	unknown	287	(543, 186, 546)
mlr226r_vglut3ctbp2_apex1	M-LR-000226-R_crop_apex1_CTBP2	train	unknown	118	(228, 295, 342)
mlr226r_vglut3ctbp2_apex2	M-LR-000226-R_crop_apex2_CTBP2	train	unknown	156	(296, 214, 321)
mlr226r_vglut3ctbp2_base1	M-LR-000226-R_crop_base1_CTBP2	train	unknown	188	(106, 285, 284)
mlr226r_vglut3ctbp2_base2	M-LR-000226-R_crop_base2_CTBP2	train	unknown	168	(394, 310, 367)
mlr226r_vglut3ctbp2_mid1	M-LR-000226-R_crop_mid1_CTBP2	train	unknown	126	(251, 272, 265)
mlr226r_vglut3ctbp2_mid2	M-LR-000226-R_crop_mid2_CTBP2	val	unknown	126	(293, 392, 383)
m78l_apexp2718_cr-ctbp2	M-LR-000078-L_crop_apex_CTBP2	train	unknown	34	(200, 400, 400)
m78l_basep2970_cr-ctbp2	M-LR-000078-L_crop_base_CTBP2	train	unknown	351	(578, 239, 573)
m78l_midp480_cr-ctbp2	M-LR-000078-L_crop_mid_CTBP2	train	unknown	269	(575, 310, 545)
MLR227-L_0403-0991-0491_Vglut3-CTBP2_mod-1	M-LR-000227-L_crop_0403-0991-0491_CTBP2	train	0403-0991-0491	214	(273, 479, 434)
mlr227-l_0672-0821-1201_vglut3-ctbp2_mod-2	M-LR-000227-L_crop_0672-0821-1201_CTBP2	train	0672-0821-1201	129	(402, 296, 440)
mlr227-l_0697-1303-0436_vglut3-ctbp2_mod-1	M-LR-000227-L_crop_0697-1303-0436_CTBP2	val	0697-1303-0436	130	(91, 288, 259)
mlr227-l_0973-0489-0404_vglut3-ctbp2_mod-1	M-LR-000227-L_crop_0973-0489-0404_CTBP2	train	0973-0489-0404	269	(195, 429, 443)
mlr227-l_1121-1013-0931_vglut3-ctbp2_mod-2	M-LR-000227-L_crop_1121-1013-0931_CTBP2	train	1121-1013-0931	222	(338, 399, 420)
MLR226L_Vglut3Ctbp2_apex1_p50-140	M-LR-000226-L_crop_apex1_CTBP2	test	unknown	260	(129, 265, 267)
MLR226L_Vglut3Ctbp2_apex2_p1-134	M-LR-000226-L_crop_apex2_CTBP2	test	unknown	139	(336, 364, 319)
MLR226L_Vglut3Ctbp2_base1_reslice_p122-256	M-LR-000226-L_crop_base1_CTBP2	test	unknown	274	(316, 265, 288)
MLR226L_Vglut3Ctbp2_base2_p40-130	M-LR-000226-L_crop_base2_CTBP2	test	unknown	223	(184, 306, 317)
MLR226L_Vglut3Ctbp2_mid1_resliced_p70-185	M-LR-000226-L_crop_mid1_CTBP2	test	unknown	242	(373, 245, 369)
MLR226L_Vglut3Ctbp2_mid2_p65-195	M-LR-000226-L_crop_mid2_CTBP2	test	unknown	287	(265, 135, 266)
